<Header>
User name: 
Location: probe cabin
# of Location: 2
Model: 11-D
Serial No.: 11D20167
Firmware revision: 12.50E
Software revision: 1179-V2-10 (23-01-2023)
Unit: Mass fraction [ug/m3]
C-factor: 1,00
location factor: 1,00
Comment: test room aerosol conditions
online data
<Data>
[d&t31.12.2035 11:50:55]	TSP [ug/m3]	PM10 [ug/m3]	PM4 [ug/m3]	PM2,5 [ug/m3]	PM1 [ug/m3]	PMcoarse [ug/m3]	Inhalable [ug/m3]	Thoracic [ug/m3]	Respirable [ug/m3]	pm10-IAQ [ug/m3]	pm2,5-IAQ [ug/m3]	pm1-IAQ [ug/m3]
14.08.2025 10:33:56	30,9	24,7	16,9	10,1	5,4	14,6	26,1	23,4	13,7	23,5	7,9	4,4
14.08.2025 10:34:02	108,2	28,9	24,2	13,3	5,4	15,6	65,6	31,9	18,6	23,7	10,3	4,4
14.08.2025 10:34:08	26,8	24,8	16,7	10,9	6,7	13,9	24,9	23,5	13,8	24,8	8,5	5,4
14.08.2025 10:34:14	48,1	28,6	17,7	8,8	5,6	19,8	37,5	29,2	13,8	27,2	6,9	4,5
14.08.2025 10:34:20	149,4	28,5	14,4	11,0	6,4	17,4	97,8	47,0	12,2	32,9	8,6	5,1
14.08.2025 10:34:26	22,5	22,1	17,2	10,2	6,0	12,0	18,7	18,3	13,4	18,7	8,0	4,8
14.08.2025 10:34:32	97,6	17,9	10,5	7,2	6,1	10,7	62,2	28,1	9,8	20,3	5,8	4,9
14.08.2025 10:34:38	102,2	28,4	10,9	7,5	5,7	20,9	74,8	44,2	9,0	34,3	5,9	4,6
14.08.2025 10:34:44	39,9	25,7	10,1	7,0	6,1	18,7	37,0	30,4	9,2	31,7	5,6	4,9
14.08.2025 10:34:50	103,4	24,0	17,7	10,8	5,6	13,2	64,1	30,2	14,2	22,2	8,4	4,5
14.08.2025 10:34:56	44,0	26,1	18,9	11,1	6,2	15,0	33,8	26,4	14,8	23,7	8,7	5,0
14.08.2025 10:35:02	44,9	26,3	14,9	8,8	6,3	17,5	37,5	29,4	12,2	27,4	6,9	5,1
14.08.2025 10:35:08	22,8	22,4	16,9	10,0	6,1	12,4	20,6	20,1	13,7	20,6	7,9	4,9
