<Header>
User name: CF
Location: laboratory
# of Location: 1
Model: 1.109
Serial No.: 9G050007
Firmware revision: 12.30E
Software revision: 7-1 Rev XII (27-02-2019)
Unit: log data
C-factor: 1,00
Comment: test room aerosol conditions
online data
K-line: K	576	922	1782	0	0	32	81	0	0	0	0	
analog inputs: Input 1:	offset: 0,00	factor: 0,00	connected: no;Input 2:	offset: 0,00	factor: 0,00	connected: no;Input 3:	offset: 0,00	factor: 0,00	connected: no;Input 4:	offset: 0,00	factor: 0,00	connected: no
<Data>
[d&t31.12.2035 11:50:55]	P	Year	Month	Day	Hour	Minute	Loc	GF	Error	Qbatt	Im	UeL	UE4	UE3	UE2	UE1	IV
14.08.2025 11:58:56	P	25	8	14	11	58	1	20	0	130	44	1	5	0	0	0	6	
14.08.2025 11:59:56	P	25	8	14	11	59	1	20	0	130	43	1	5	0	0	0	6	
14.08.2025 12:00:56	P	25	8	14	12	0	1	20	0	130	44	1	5	0	0	0	6	
14.08.2025 12:01:56	P	25	8	14	12	1	1	20	0	130	44	1	5	0	0	0	6	
14.08.2025 12:02:56	P	25	8	14	12	2	1	20	0	130	44	1	5	0	0	0	6	
14.08.2025 12:03:56	P	25	8	14	12	3	1	20	0	130	44	1	5	0	0	0	6	
14.08.2025 12:04:56	P	25	8	14	12	4	1	20	0	130	44	1	5	0	0	0	6	
14.08.2025 12:05:56	P	25	8	14	12	5	1	20	0	130	43	1	5	0	0	0	6	
14.08.2025 12:06:56	P	25	8	14	12	6	1	20	0	130	43	1	5	0	0	0	6	
14.08.2025 12:07:56	P	25	8	14	12	7	1	20	0	130	43	1	5	0	0	0	6	
14.08.2025 12:08:56	P	25	8	14	12	8	1	20	0	130	43	1	5	0	0	0	6	
14.08.2025 12:09:56	P	25	8	14	12	9	1	20	0	130	43	1	5	0	0	0	6	
14.08.2025 12:10:56	P	25	8	14	12	10	1	20	0	130	43	1	5	0	0	0	6	
14.08.2025 12:11:56	P	25	8	14	12	11	1	20	0	130	43	1	5	0	0	0	6	
14.08.2025 12:12:56	P	25	8	14	12	12	1	20	0	130	44	0	5	0	0	0	6	
14.08.2025 12:13:56	P	25	8	14	12	13	1	20	0	130	43	1	5	0	0	0	6	
