Datensatz 1:Zeit(s),Datensatz 1:Force 1(N),Datensatz 1:Respiration Rate 1(bpm),Datensatz 1:Force 2(N),Datensatz 1:Respiration Rate 2(bpm),Datensatz 2:Zeit(s),Datensatz 2:Force 1(N),Datensatz 2:Respiration Rate 1(bpm),Datensatz 2:Force 2(N),Datensatz 2:Respiration Rate 2(bpm),Datensatz 3:Zeit(s),Datensatz 3:Force 1(N),Datensatz 3:Respiration Rate 1(bpm),Datensatz 3:Force 2(N),Datensatz 3:Respiration Rate 2(bpm),Datensatz 4:Zeit(s),Datensatz 4:Force 1(N),Datensatz 4:Respiration Rate 1(bpm),Datensatz 4:Force 2(N),Datensatz 4:Respiration Rate 2(bpm)
29.5,38.953666687011719,,0.9267578125,,,,,,,29.5,26.365184783935547,,12.6260986328125,,29.5,8.9911880493164062,,4.36578369140625,
29.600000000000001,39.002212524414062,,1.03662109375,,,,,,,29.600000000000001,22.494358062744141,,11.869819641113281,,29.600000000000001,9.1138229370117188,,4.1588287353515625,
29.699999999999999,38.923007965087891,,1.1720352172851562,,,,,,,29.699999999999999,19.154972076416016,,11.629653930664062,,29.699999999999999,9.1266021728515625,,4.153717041015625,
29.800000000000001,38.782482147216797,,1.322784423828125,,,,,,,29.800000000000001,15.519210815429688,,11.555557250976562,,29.800000000000001,9.2236862182617188,,4.2891387939453125,
29.899999999999999,37.824359893798828,,1.5399551391601562,,,,,,,29.899999999999999,12.297355651855469,,11.39459228515625,,29.899999999999999,9.5737228393554688,,4.779693603515625,
30,34.283126831054688,2.5252525806427002,1.9921875,18.140588760375977,,,,,,30,10.3070068359375,0,10.993453979492188,3.6452004909515381,30,10.439872741699219,10.501749992370605,6.0086517333984375,16.431924819946289
30.100000000000001,29.518054962158203,,2.6079483032226562,,,,,,,30.100000000000001,9.2211380004882812,,10.375144958496094,,30.100000000000001,12.33056640625,,7.7562713623046875,
30.199999999999999,25.703437805175781,,3.1904830932617188,,,,,,,30.199999999999999,8.605377197265625,,9.498779296875,,30.199999999999999,15.631629943847656,,9.33270263671875,
30.300000000000001,21.738079071044922,,3.9109954833984375,,,,,,,30.300000000000001,8.32177734375,,8.6913986206054688,,30.300000000000001,20.274063110351562,,10.553993225097656,
30.399999999999999,17.333259582519531,,4.818023681640625,,,,,,,30.399999999999999,8.26556396484375,,8.1267471313476562,,30.399999999999999,25.361068725585938,,11.719078063964844,
30.5,13.820137023925781,,5.6254043579101562,,,,,,,30.5,8.26556396484375,,7.6949539184570312,,30.5,30.006057739257812,,12.90203857421875,
30.600000000000001,11.9268798828125,,6.1338424682617188,,,,,,,30.600000000000001,8.311553955078125,,7.4368972778320312,,30.600000000000001,34.111942291259766,,14.026237487792969,
30.699999999999999,11.165489196777344,,6.4583282470703125,,,,,,,30.699999999999999,8.4623031616210938,,7.1941680908203125,,30.699999999999999,37.701717376708984,,15.007362365722656,
30.800000000000001,10.853782653808594,,6.9207839965820312,,,,,,,30.800000000000001,8.6079330444335938,,6.9310073852539062,,30.800000000000001,40.936347961425781,,15.794303894042969,
30.899999999999999,11.060737609863281,,7.3576889038085938,,,,,,,30.899999999999999,8.6718063354492188,,6.8083648681640625,,30.899999999999999,44.199081420898438,,16.537803649902344,
31,11.707145690917969,,7.75115966796875,,,,,,,31,8.5568313598632812,,6.7725982666015625,,31,47.755641937255859,,17.342628479003906,
31.100000000000001,12.522193908691406,,8.4077987670898438,,,,,,,31.100000000000001,8.367767333984375,,6.6985015869140625,,31.100000000000001,51.887077331542969,,18.180671691894531,
31.199999999999999,13.393447875976562,,9.1640777587890625,,,,,,,31.199999999999999,8.3243331909179688,,6.6499557495117188,,31.199999999999999,56.261238098144531,,19.228221893310547,
31.300000000000001,14.106292724609375,,9.8283767700195312,,,,,,,31.300000000000001,8.3345489501953125,,6.6703948974609375,,31.300000000000001,60.377342224121094,,20.715229034423828,
31.399999999999999,14.745040893554688,,10.303604125976562,,,,,,,31.399999999999999,8.3652114868164062,,6.7087173461914062,,31.399999999999999,64.43212890625,,22.572715759277344,
31.5,15.764488220214844,,10.648529052734375,,,,,,,31.5,8.4290847778320312,,6.7777023315429688,,31.5,66.971794128417969,,24.184921264648438,
31.600000000000001,17.029212951660156,,11.024116516113281,,,,,,,31.600000000000001,8.5619430541992188,,6.9463348388671875,,31.600000000000001,65.548660278320312,,24.261569976806641,
31.699999999999999,18.135528564453125,,11.399703979492188,,,,,,,31.699999999999999,8.8736572265625,,7.4241180419921875,,31.699999999999999,60.783584594726562,,22.866539001464844,
31.800000000000001,18.973567962646484,,11.74462890625,,,,,,,31.800000000000001,9.397430419921875,,8.28515625,,31.800000000000001,54.255561828613281,,20.720340728759766,
31.899999999999999,19.372150421142578,,11.931137084960938,,,,,,,31.899999999999999,10.225250244140625,,9.3761367797851562,,31.899999999999999,46.889499664306641,,17.776981353759766,
32,19.137088775634766,,11.793167114257812,,,,,,,32,11.459312438964844,,10.301048278808594,,32,39.712501525878906,,14.695648193359375,
32.100000000000001,18.375698089599609,,11.435470581054688,,,,,,,32.100000000000001,13.304023742675781,,10.973014831542969,,32.100000000000001,33.24835205078125,,12.16619873046875,
32.200000000000003,17.246387481689453,,11.06243896484375,,,,,,,32.200000000000003,15.981662750244141,,11.703742980957031,,32.200000000000003,28.102584838867188,,10.423690795898438,
32.299999999999997,15.657180786132812,,10.725181579589844,,,,,,,32.299999999999997,19.331268310546875,,12.488128662109375,,32.299999999999997,24.441268920898438,,9.5141067504882812,
32.399999999999999,13.917221069335938,,10.270393371582031,,,,,,,32.399999999999999,23.087120056152344,,13.246963500976562,,32.399999999999999,22.044677734375,,9.1385269165039062,
