Date/Time	Exhale Airflow [ml/s]	DeltaTime OPC [s]	Particle 1 [counts/l]	Particle 2 [counts/l]	Particle 3 [counts/l]	Particle 4 [counts/l]	Particle 5 [counts/l]	Particle 6 [counts/l]	Particle 7 [counts/l]	Particle 8 [counts/l]	Particle 9 [counts/l]	Particle 10 [counts/l]	Particle 11 [counts/l]	Particle 12 [counts/l]	Particle 13 [counts/l]	Particle 14 [counts/l]	Particle 15 [counts/l]	Particle 16 [counts/l]	Particle Sum [counts/l]	Accumulated mass [ng]	Accumulated volume [l]	Exhale Counter [n]	Event Counter [n]	Internal Temperature [°C]	Internal Humidity [%]	Temperature too low [n]	Temperature too high [n]	Circuit Flow [ml/s]	Temperature Impactor [°C]	Temperature Reservoir [°C]	Inhale Airflow [ml/s]	Inhale Exhale Airflow [ml/s]	Volume ml]
2026-01-08 11:14:02.87	202.895909																						0					248.663895			0.034811	202.895909	-236.332789
2026-01-08 11:14:02.88	202.895909																						0					248.802811			0.023457	202.895909	-238.361748
2026-01-08 11:14:02.89	202.895909																						0					248.941742			0.023457	202.895909	-240.390707
2026-01-08 11:14:02.90	203.539398																						0					248.482697			0.034811	203.539398	-242.420738
2026-01-08 11:14:02.91	202.895909																						0					248.573303			0.034811	202.895909	-244.453987
2026-01-08 11:14:02.92	202.895909																						0					248.663895			0.034811	202.895909	-246.484019
2026-01-08 11:14:02.93	202.895909																						0					248.802811			0.023457	202.895909	-248.512978
2026-01-08 11:14:02.94	202.895909																						0					248.941742			0.023457	202.895909	-250.541937
2026-01-08 11:14:02.95	202.010854																						0					248.913116			0.023457	202.010854	-252.569421
2026-01-08 11:14:02.96	202.010854																						0					248.884491			0.023457	202.010854	-254.591005
2026-01-08 11:14:02.97	202.010854																						0					248.950821			-0.000985	202.010854	-256.611113
2026-01-08 11:14:02.98	202.010854																						0					249.017136			-0.000985	202.010854	-258.631222
2026-01-08 11:14:02.99	201.712380																						0					249.160400			-0.000985	201.712380	-260.650833
2026-01-08 11:14:03.00	201.712380																						0					249.303665			-0.000985	201.712380	-262.668454
2026-01-08 11:14:03.01	201.712380																						0					249.292160			-0.028621	201.712380	-264.685578
2026-01-08 11:14:03.02	201.712380																						0					249.280655			-0.028621	201.712380	-266.702702
2026-01-08 11:14:03.03	202.480084																						0					249.220825			-0.028621	202.480084	-268.721105
2026-01-08 11:14:03.04	202.480084																						0					249.160995			-0.028621	202.480084	-270.744626
2026-01-08 11:14:03.05	202.480084																						0					249.149643			-0.000015	202.480084	-272.769427
2026-01-08 11:14:03.06	202.480084																						0					249.138290			-0.000015	202.480084	-274.794228
2026-01-08 11:14:03.07	203.062364																						0					249.032013			-0.000015	203.062364	-276.819999
2026-01-08 11:14:03.08	203.062364																						0					248.925720			-0.000015	203.062364	-278.849653
2026-01-08 11:14:03.09	203.062364																						0					248.819443			0.001494	203.062364	-280.880276
2026-01-08 11:14:03.10	202.694448																						0					249.794388			0.000002	202.694448	-282.910287
2026-01-08 11:14:03.11	201.896651																						0					250.034088			0.000002	201.896651	-284.936515
2026-01-08 11:14:03.12	201.896651																						0					250.273788			0.004844	201.896651	-286.956811
2026-01-08 11:14:03.13	201.896651																						0					250.528076			0.004844	201.896651	-288.975777
2026-01-08 11:14:03.14	201.896651																						0					250.782349			0.004844	201.896651	-290.994744
2026-01-08 11:14:03.15	201.853727																						0					250.934662			0.004844	201.853727	-293.013639
2026-01-08 11:14:03.16	201.853727																						0					251.086975			-0.013688	201.853727	-295.032248
2026-01-08 11:14:03.17	201.853727																						0					251.091522			-0.013688	201.853727	-297.050785
2026-01-08 11:14:03.18	201.853727																						0					251.096085			-0.013688	201.853727	-299.069322
2026-01-08 11:14:03.19	200.824107																						0					250.962906			-0.013688	200.824107	-301.086143
2026-01-08 11:14:03.20	201.853727																						0					250.934662			0.004844	201.853727	-303.097817
2026-01-08 11:14:03.21	201.853727																						0					251.086975			-0.013688	201.853727	-305.114638
2026-01-08 11:14:03.22	201.853727																						0					251.091522			-0.013688	201.853727	-307.133175
2026-01-08 11:14:03.23	201.853727																						0					251.096085			-0.013688	201.853727	-309.151712
2026-01-08 11:14:03.24	200.824107																						0					250.962906			-0.013688	200.824107	-311.168534
2026-01-08 11:14:03.25	200.824107																						0					250.829727			-0.012059	200.824107	-313.178491
2026-01-08 11:14:03.26	200.824107																						0					250.640244			-0.012059	200.824107	-315.186732
2026-01-08 11:14:03.27	200.824107																						0					250.450745			-0.012059	200.824107	-317.194973
2026-01-08 11:14:03.28	201.238236																						0					250.246674			-0.012059	201.238236	-319.203904
2026-01-08 11:14:03.29	201.238236																						0					250.042618			0.001213	201.238236	-321.215596
2026-01-08 11:14:03.30	202.687882																						0					249.510345			-0.002598	202.687882	-323.230395
2026-01-08 11:14:03.31	202.502999																						0					249.579132			-0.002598	202.502999	-325.254549
2026-01-08 11:14:03.32	202.502999																						0					249.647919			-0.000538	202.502999	-327.279887
2026-01-08 11:14:03.33	202.502999																						0					249.735657			-0.000538	202.502999	-329.304917
2026-01-08 11:14:03.34	202.502999																						0					249.823410			-0.000538	202.502999	-331.329947
2026-01-08 11:14:03.35	202.275106																						0					249.920258			-0.000538	202.275106	-333.354598
