<Header>
User name: 
Location: laboratory
# of Location: 1
Model: 1.109
Serial No.: 9G050007
Firmware revision: 12.30E
Software revision: 7-1 Rev XII (27-02-2019)
Unit: dM [ug/m3]
C-factor: 1,00
Comment: participat test
online data
<Data>
[d&t31.12.2035 11:50:55]	0,30 um	0,40 um	0,50 um	0,65 um	0,80 um	1,00 um	1,60 um	2,00 um	3,00 um	4,00 um	5,00 um	7,50 um	10,00 um	15,00 um	20,00 um
17.09.2026 10:54:28	0,64	1,02	0,79	1,04	0,79	1,20	4,76	11,70	8,76	12,41	99,71	91,20	132,95	729,60	2127,12
17.09.2026 10:54:34	0,71	1,07	1,10	1,06	0,89	0,60	2,78	6,38	8,76	18,61	16,62	45,60	531,78	72,96	1914,41
17.09.2026 10:54:40	0,78	1,06	1,06	1,32	0,79	1,05	1,98	3,19	8,76	0,00	0,00	91,20	531,78	0,00	2127,12
17.09.2026 10:54:46	0,72	1,18	1,02	0,99	0,79	1,05	3,18	9,57	20,43	18,61	0,00	45,60	664,73	145,92	1701,70
17.09.2026 10:54:52	0,74	1,18	0,83	1,25	0,60	0,15	3,57	4,25	2,92	31,01	49,85	45,60	0,00	583,68	2552,54
17.09.2026 10:54:58	0,72	1,01	1,05	1,19	1,14	0,30	3,18	3,19	11,67	12,41	49,85	182,40	265,89	72,96	2977,97
17.09.2026 10:55:04	0,75	1,00	1,22	1,53	0,74	0,90	1,19	12,76	8,76	12,41	83,09	91,20	265,89	437,76	2977,97
17.09.2026 10:55:10	0,86	1,26	1,16	0,93	0,60	1,79	3,97	9,57	8,76	37,22	49,85	91,20	0,00	1094,40	5317,80
17.09.2026 10:55:16	0,69	1,08	1,11	0,88	0,60	1,05	3,97	4,25	5,84	18,61	99,71	0,00	531,78	145,92	2765,26
17.09.2026 10:55:22	0,72	1,09	1,23	1,25	0,55	0,75	4,37	5,32	8,76	24,81	49,85	0,00	132,95	1094,40	2127,12
17.09.2026 10:55:28	0,68	1,06	1,26	1,09	1,09	2,09	2,38	10,64	17,51	18,61	66,47	45,60	265,89	437,76	2977,97
17.09.2026 10:55:34	0,68	1,27	1,05	1,30	0,60	1,20	4,76	8,51	17,51	24,81	83,09	45,60	664,73	802,56	1914,41
17.09.2026 10:55:40	0,67	1,11	1,06	1,14	0,69	1,05	2,38	11,70	2,92	24,81	0,00	91,20	398,84	291,84	1276,27
17.09.2026 10:55:46	0,70	1,14	0,91	1,09	0,74	1,20	4,37	8,51	11,67	0,00	33,24	91,20	132,95	729,60	3190,68
17.09.2026 10:55:52	0,78	1,14	0,97	0,75	0,65	0,75	2,38	3,19	5,84	12,41	66,47	45,60	132,95	291,84	3403,39
17.09.2026 10:55:58	0,74	1,09	1,00	0,99	0,65	0,45	1,59	2,13	11,67	0,00	0,00	45,60	265,89	145,92	1701,70
17.09.2026 10:56:04	0,66	1,02	1,11	1,45	0,84	1,05	3,97	10,64	14,59	12,41	49,85	182,40	0,00	1386,24	2339,83
17.09.2026 10:56:10	0,73	0,92	1,20	0,91	0,50	1,64	3,57	9,57	11,67	24,81	66,47	45,60	398,84	291,84	2339,83
17.09.2026 10:56:16	0,72	1,14	1,13	1,19	0,45	0,60	4,37	3,19	17,51	18,61	33,24	228,00	0,00	291,84	1276,27
17.09.2026 10:56:22	0,66	1,18	1,11	1,32	0,50	0,90	4,37	4,25	20,43	6,20	116,33	136,80	265,89	437,76	850,85
17.09.2026 10:56:28	0,71	0,99	1,06	0,96	0,55	0,60	0,79	6,38	20,43	18,61	33,24	45,60	398,84	364,80	1063,56
17.09.2026 10:56:34	0,69	0,94	1,22	1,30	0,69	0,30	2,78	3,19	14,59	6,20	33,24	0,00	132,95	0,00	0,00
17.09.2026 10:56:40	0,63	1,07	1,01	0,73	0,40	1,79	1,19	7,44	17,51	18,61	49,85	45,60	398,84	0,00	1063,56
17.09.2026 10:56:46	0,69	1,07	1,01	0,86	0,60	0,90	3,18	7,44	8,76	43,42	49,85	0,00	132,95	364,80	2127,12
17.09.2026 10:56:52	0,62	1,00	0,87	0,99	1,04	1,35	3,18	8,51	11,67	6,20	16,62	0,00	265,89	218,88	1488,98
17.09.2026 10:56:58	0,73	0,91	0,91	1,09	0,84	0,75	3,18	6,38	5,84	12,41	16,62	0,00	132,95	0,00	0,00
17.09.2026 10:57:04	0,70	1,04	0,92	1,17	1,04	0,15	4,76	5,32	2,92	18,61	16,62	45,60	132,95	0,00	2127,12
17.09.2026 10:57:10	0,62	0,88	1,19	1,06	0,84	1,05	1,98	5,32	17,51	12,41	116,33	0,00	0,00	0,00	2127,12
17.09.2026 10:57:16	0,73	1,14	1,14	0,75	0,69	0,45	1,59	5,32	5,84	12,41	33,24	91,20	132,95	1240,32	2765,26
17.09.2026 10:57:22	0,73	1,10	0,84	0,99	0,65	0,90	0,79	7,44	14,59	12,41	0,00	91,20	265,89	0,00	1063,56
