Datensatz 1:Zeit(s),Datensatz 1:Kraft(N),Datensatz 1:Atmungsrate(bpm),Datensatz 1:Force 2(N),Datensatz 1:Respiration Rate 2(bpm)
220.59999999999999,13.642990112304688,,9.0371780395507812,
220.69999999999999,12.781951904296875,,8.6028213500976562,
220.80000000000001,11.805946350097656,,8.311553955078125,
220.90000000000001,10.937248229980469,,8.1352615356445312,
221,10.311271667480469,,8.0739364624023438,
221.09999999999999,9.8002700805664062,,7.887420654296875,
221.19999999999999,9.3505935668945312,,7.6625823974609375,
221.30000000000001,9.0363235473632812,,7.6191482543945312,
221.40000000000001,8.7527236938476562,,7.667694091796875,
221.5,8.4026870727539062,,7.6472549438476562,
221.59999999999999,8.04498291015625,,7.575714111328125,
221.69999999999999,7.7102813720703125,,7.5271682739257812,
221.80000000000001,7.3628005981445312,,7.4914016723632812,
221.90000000000001,7.025543212890625,,7.4684066772460938,
222,6.7904815673828125,,7.4428558349609375,
222.09999999999999,6.675506591796875,,7.409637451171875,
222.19999999999999,6.5707473754882812,,7.1796875,
222.30000000000001,6.4200057983398438,,6.8833084106445312,
222.40000000000001,6.2845916748046875,,6.8271026611328125,
222.5,6.1823883056640625,,6.8654251098632812,
222.59999999999999,6.1363983154296875,,6.8986358642578125,
222.69999999999999,6.1108474731445312,,6.94207763671875,
222.80000000000001,6.1031875610351562,,6.9727325439453125,
222.90000000000001,6.1619491577148438,,6.9804000854492188,
223,6.3689041137695312,,7.0774917602539062,
223.09999999999999,6.859466552734375,,7.3789825439453125,
223.19999999999999,7.7077255249023438,,7.7366790771484375,
223.30000000000001,8.6300811767578125,,8.0407257080078125,
223.40000000000001,9.6163101196289062,,8.569610595703125,
223.5,10.832489013671875,,9.4638595581054688,
223.59999999999999,12.097213745117188,,10.485862731933594,
223.69999999999999,13.298065185546875,,11.459312438964844,
223.80000000000001,14.381385803222656,,12.340789794921875,
223.90000000000001,15.273078918457031,,13.252922058105469,
224,16.057464599609375,,14.297920227050781,
224.09999999999999,16.800971984863281,,15.332695007324219,
224.19999999999999,17.447383880615234,,16.145183563232422,
224.30000000000001,18.012039184570312,,16.776268005371094,
224.40000000000001,18.632904052734375,,17.545322418212891,
224.5,19.32275390625,,18.518779754638672,
224.59999999999999,19.938510894775391,,19.428359985351562,
224.69999999999999,20.472503662109375,,20.169307708740234,
224.80000000000001,20.878749847412109,,20.769733428955078,
224.90000000000001,21.093368530273438,,21.204082489013672,
225,21.221118927001953,,21.411037445068359,
225.09999999999999,20.96051025390625,,20.999683380126953,
225.19999999999999,19.992164611816406,,19.985347747802734,
225.30000000000001,18.965053558349609,,18.838153839111328,
225.40000000000001,18.147453308105469,,17.739505767822266,
225.5,17.066688537597656,,16.668960571289062,
225.59999999999999,16.420272827148438,,15.552421569824219,
225.69999999999999,15.602676391601562,,14.407783508300781,
225.80000000000001,15.022689819335938,,13.316802978515625,
225.90000000000001,14.606224060058594,,12.284576416015625,
226,14.233192443847656,,11.206367492675781,
226.09999999999999,13.78607177734375,,10.217582702636719,
226.19999999999999,13.464141845703125,,9.5711669921875,
226.30000000000001,13.19586181640625,,9.2160263061523438,
226.40000000000001,12.876487731933594,,8.9860763549804688,
226.5,12.53411865234375,,8.7970046997070312,
226.59999999999999,12.263290405273438,,8.6360397338867188,
226.69999999999999,11.841712951660156,,8.4852981567382812,
226.80000000000001,11.489128112792969,,8.3498764038085938,
226.90000000000001,11.036888122558594,,8.063720703125,
227,10.592323303222656,,7.7264556884765625,
227.09999999999999,10.334266662597656,,7.6242599487304688,
227.19999999999999,9.9740142822265625,,7.6293716430664062,
227.30000000000001,9.7363967895507812,,7.631927490234375,
227.40000000000001,9.5345535278320312,,7.63958740234375,
227.5,9.3301467895507812,,7.6472549438476562,
227.59999999999999,9.1998443603515625,,7.6549224853515625,
227.69999999999999,9.0772018432617188,,7.67791748046875,
227.80000000000001,8.8957977294921875,,7.52972412109375,
227.90000000000001,8.681182861328125,,7.2665557861328125,
228,8.4818878173828125,,7.2026824951171875,
228.09999999999999,8.4461212158203125,,7.2537841796875,
228.19999999999999,8.3643569946289062,,7.2665557861328125,
228.30000000000001,8.1982879638671875,,7.264007568359375,
228.40000000000001,8.0705337524414062,,7.2588958740234375,
228.5,7.9504470825195312,,7.2410125732421875,
