Date/Time	Exhale Airflow [ml/s]	DeltaTime OPC [s]	Particle 1 [counts/l]	Particle 2 [counts/l]	Particle 3 [counts/l]	Particle 4 [counts/l]	Particle 5 [counts/l]	Particle 6 [counts/l]	Particle 7 [counts/l]	Particle 8 [counts/l]	Particle 9 [counts/l]	Particle 10 [counts/l]	Particle 11 [counts/l]	Particle 12 [counts/l]	Particle 13 [counts/l]	Particle 14 [counts/l]	Particle 15 [counts/l]	Particle 16 [counts/l]	Particle Sum [counts/l]	Accumulated mass [ng]	Accumulated volume [l]	Exhale Counter [n]	Event Counter [n]	Internal Temperature [°C]	Internal Humidity [%]	Temperature too low [n]	Temperature too high [n]	Circuit Flow [ml/s]	Temperature Impactor [°C]	Temperature Reservoir [°C]	Inhale Airflow [ml/s]	Inhale Exhale Airflow [ml/s]	Volume ml]
2026-08-27 14:37:11.19	160.185455																						0					255.103302			28.274773	160.185455	5994.975295
2026-08-27 14:37:11.20	160.185455																						0					254.869202			28.274773	160.185455	5993.373441
2026-08-27 14:37:11.21	166.404549																						0					254.635101			28.274773	166.404549	5991.761221
2026-08-27 14:37:11.22	166.404549																						0					254.401001			27.304620	166.404549	5990.107541
2026-08-27 14:37:11.23	166.404549																						0					253.585190			27.304620	166.404549	5988.443495
2026-08-27 14:37:11.24	166.404549																						0					252.769379			27.304620	166.404549	5986.779450
2026-08-27 14:37:11.25	156.992731																						0					252.174393			27.304620	156.992731	5985.131091
2026-08-27 14:37:11.26	156.992731																						0					251.579407			27.419264	156.992731	5983.545477
2026-08-27 14:37:11.27	156.992731																						0					251.723373			27.419264	156.992731	5981.975550
2026-08-27 14:37:11.28	156.992731																						0					251.867340			27.419264	156.992731	5980.405622
2026-08-27 14:37:11.29	158.845113																						0					252.024582			27.419264	158.845113	5978.832608
2026-08-27 14:37:11.30	158.845113																						0					252.181839			26.812932	158.845113	5977.247244
2026-08-27 14:37:11.31	158.845113																						0					251.616852			26.812932	158.845113	5975.658793
2026-08-27 14:37:11.32	138.551650																						0					250.620392			25.924236	138.551650	5974.104164
2026-08-27 14:37:11.33	138.551650																						0					249.972794			25.063370	138.551650	5972.684825
2026-08-27 14:37:11.34	138.551650																						0					249.390106			25.063370	138.551650	5971.299309
2026-08-27 14:37:11.35	138.551650																						0					248.807419			25.063370	138.551650	5969.913792
2026-08-27 14:37:11.36	132.738312																						0					248.946960			25.063370	132.738312	5968.537965
2026-08-27 14:37:11.37	132.738312																						0					249.086502			24.790410	132.738312	5967.200893
2026-08-27 14:37:11.38	132.738312																						0					249.236450			24.790410	132.738312	5965.873509
2026-08-27 14:37:11.39	132.738312																						0					249.386383			24.790410	132.738312	5964.546126
2026-08-27 14:37:11.40	129.894861																						0					249.461700			24.790410	129.894861	5963.223482
2026-08-27 14:37:11.41	129.894861																						0					249.537018			24.790410	129.894861	5961.919795
2026-08-27 14:37:11.42	138.551650																						0					250.620392			25.924236	138.551650	5960.606418
2026-08-27 14:37:11.43	138.551650																						0					249.972794			25.063370	138.551650	5959.235329
2026-08-27 14:37:11.44	138.551650																						0					249.390106			25.063370	138.551650	5957.849813
2026-08-27 14:37:11.45	138.551650																						0					248.807419			25.063370	138.551650	5956.464296
2026-08-27 14:37:11.46	132.738312																						0					248.946960			25.063370	132.738312	5955.088469
2026-08-27 14:37:11.47	132.738312																						0					249.086502			24.790410	132.738312	5953.751397
2026-08-27 14:37:11.48	132.738312																						0					249.236450			24.790410	132.738312	5952.424014
2026-08-27 14:37:11.49	132.738312																						0					249.386383			24.790410	132.738312	5951.096631
2026-08-27 14:37:11.50	129.894861																						0					249.461700			24.790410	129.894861	5949.773987
2026-08-27 14:37:11.51	129.894861																						0					249.537018			24.790410	129.894861	5948.470299
2026-08-27 14:37:11.52	129.830632																						0					249.470749			24.574692	129.830632	5947.171457
2026-08-27 14:37:11.53	126.542503																						0					249.373245			24.574692	126.542503	5945.878524
2026-08-27 14:37:11.54	126.542503																						0					249.275757			24.574692	126.542503	5944.607619
2026-08-27 14:37:11.55	126.542503																						0					248.791870			25.684102	126.542503	5943.342194
2026-08-27 14:37:11.56	126.542503																						0					248.307999			25.684102	126.542503	5942.076769
2026-08-27 14:37:11.57	138.323999																						0					247.839996			25.684102	138.323999	5940.791708
2026-08-27 14:37:11.58	138.323999																						0					247.371994			25.684102	138.323999	5939.428104
2026-08-27 14:37:11.59	138.323999																						0					247.630722			26.246041	138.323999	5938.044864
2026-08-27 14:37:11.60	138.323999																						0					247.889450			26.246041	138.323999	5936.661624
2026-08-27 14:37:11.61	139.423018																						0					248.229782			26.246041	139.423018	5935.276552
2026-08-27 14:37:11.62	138.323999																						0					247.839996			25.684102	138.323999	5933.885985
2026-08-27 14:37:11.63	138.323999																						0					247.371994			25.684102	138.323999	5932.500914
2026-08-27 14:37:11.64	138.323999																						0					247.630722			26.246041	138.323999	5931.117674
2026-08-27 14:37:11.65	138.323999																						0					247.889450			26.246041	138.323999	5929.734434
2026-08-27 14:37:11.66	139.423018																						0					248.229782			26.246041	139.423018	5928.349362
