Date/Time	Exhale Airflow [ml/s]	DeltaTime OPC [s]	Particle 1 [counts/l]	Particle 2 [counts/l]	Particle 3 [counts/l]	Particle 4 [counts/l]	Particle 5 [counts/l]	Particle 6 [counts/l]	Particle 7 [counts/l]	Particle 8 [counts/l]	Particle 9 [counts/l]	Particle 10 [counts/l]	Particle 11 [counts/l]	Particle 12 [counts/l]	Particle 13 [counts/l]	Particle 14 [counts/l]	Particle 15 [counts/l]	Particle 16 [counts/l]	Particle Sum [counts/l]	Accumulated mass [ng]	Accumulated volume [l]	Exhale Counter [n]	Event Counter [n]	Internal Temperature [°C]	Internal Humidity [%]	Temperature too low [n]	Temperature too high [n]	Circuit Flow [ml/s]	Temperature Impactor [°C]	Temperature Reservoir [°C]	Inhale Airflow [ml/s]	Inhale Exhale Airflow [ml/s]	Volume ml]
2026-09-03 15:29:46.70	-0.020183																						0					253.217041			0.000848	-0.020183	5998.904554
2026-09-03 15:29:46.71	-0.020183																						0					253.310638			0.000848	-0.020183	5998.904755
2026-09-03 15:29:46.72	-0.020183																						0					253.404221			-0.001646	-0.020183	5998.904957
2026-09-03 15:29:46.73	1.178042																						0					253.630615			-0.001646	1.178042	5998.903162
2026-09-03 15:29:46.74	1.178042																						0					253.857010			-0.001646	1.178042	5998.893379
2026-09-03 15:29:46.75	1.178042																						0					253.752747			-0.001646	1.178042	5998.881598
2026-09-03 15:29:46.76	1.178042																						0					253.648499			-0.001697	1.178042	5998.869818
2026-09-03 15:29:46.77	-0.622670																						0					253.486481			-0.001697	-0.622670	5998.861039
2026-09-03 15:29:46.78	1.918611																						0					251.415512			0.072700	1.918611	5998.860029
2026-09-03 15:29:46.79	1.918611																						0					250.781143			0.021981	1.918611	5998.845078
2026-09-03 15:29:46.80	2.599498																						0					250.477417			0.021981	2.599498	5998.824757
2026-09-03 15:29:46.81	2.599498																						0					250.173691			0.021981	2.599498	5998.799897
2026-09-03 15:29:46.82	2.599498																						0					249.869965			0.021981	2.599498	5998.773902
2026-09-03 15:29:46.83	2.599498																						0					249.838852			0.040006	2.599498	5998.747907
2026-09-03 15:29:46.84	2.599498																						0					249.880051			0.040006	2.599498	5998.721912
2026-09-03 15:29:46.85	1.232397																						0					249.921249			0.040006	1.232397	5998.698196
2026-09-03 15:29:46.86	1.232397																						0					249.962448			0.040006	1.232397	5998.683593
2026-09-03 15:29:46.87	1.232397																						0					249.557541			-0.001124	1.232397	5998.671269
2026-09-03 15:29:46.88	2.599498																						0					249.838852			0.040006	2.599498	5998.656667
2026-09-03 15:29:46.89	2.599498																						0					249.880051			0.040006	2.599498	5998.632950
2026-09-03 15:29:46.90	1.232397																						0					249.921249			0.040006	1.232397	5998.609234
2026-09-03 15:29:46.91	1.232397																						0					249.962448			0.040006	1.232397	5998.594631
2026-09-03 15:29:46.92	1.232397																						0					249.557541			-0.001124	1.232397	5998.582307
2026-09-03 15:29:46.93	1.232397																						0					249.384033			-0.001124	1.232397	5998.569983
2026-09-03 15:29:46.94	3.977044																						0					249.210526			-0.001124	3.977044	5998.553085
2026-09-03 15:29:46.95	3.977044																						0					249.037018			-0.001124	3.977044	5998.517889
2026-09-03 15:29:46.96	3.977044																						0					248.896194			0.010730	3.977044	5998.478118
2026-09-03 15:29:46.97	3.977044																						0					248.755356			0.010730	3.977044	5998.438348
2026-09-03 15:29:46.98	1.232397																						0					249.384033			-0.001124	1.232397	5998.403152
2026-09-03 15:29:46.99	3.977044																						0					249.210526			-0.001124	3.977044	5998.381679
2026-09-03 15:29:47.00	3.977044																						0					249.037018			-0.001124	3.977044	5998.346483
2026-09-03 15:29:47.01	3.977044																						0					248.896194			0.010730	3.977044	5998.306713
2026-09-03 15:29:47.02	3.977044																						0					248.755356			0.010730	3.977044	5998.266942
2026-09-03 15:29:47.03	1.476901																						0					248.341919			0.010730	1.476901	5998.231339
2026-09-03 15:29:47.04	1.476901																						0					247.928482			0.010730	1.476901	5998.212403
